"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"47",1,1,12,12,12,12,3,1,12,12,12,12,0.233728091560203,0.185473485210901,0.0610022720147902,0.0502762439715897,0.0394286833605181,0.0211686256864939,0.233728091560203,0.185473485210901,0.0123351279907643,0.0116003942661903,0.0111102750526387,0.00373648984933381,0.492278251552444,0.281984269303924,0.0251267734424391,0.0184700798052145,0.0137055473400739,0.00673806285042687
"48",1,1,12,12,12,12,3,3,12,12,12,12,0.265570439697329,0.250535641285855,0.0747089788785136,0.0454572047536403,0.0435140041113077,0.0201442886121149,0.265570439697329,0.250535641285855,0.013102644861214,0.0123686713631478,0.00725041289444248,0.00286309812320977,0.625321670820475,0.514273828288056,0.0224531196719041,0.0136870145426377,0.0152833828133959,0.00634156354458491
"49",1,12,12,12,12,12,3,1,12,12,12,12,0.234418217144443,0.106239336704649,0.109767576386533,0.0496566396798746,0.0421411517874908,0.0302825862669929,0.234418217144443,0.0176234329699181,0.0381369338435767,0.00886679444017842,0.0108355042003544,0.00533766821819622,0.601271133550006,0.190064950986943,0.0476985605561353,0.0298777169362138,0.016306000711333,0.0105801696665868
"50",3,1,12,12,12,12,1,1,12,12,12,12,0.251396790196294,0.149972725258478,0.0689135767473898,0.0531996543210571,0.0384775924039812,0.0298744013400486,0.428712355186114,0.149972725258478,0.0134055876456561,0.00999924549902787,0.0102621378156727,0.00440346277205915,0.299064847038603,0.27656642457175,0.0215219681639302,0.0152188330634635,0.0138628694127263,0.0135821515453955
"51",1,3,12,12,12,12,3,3,1,12,12,12,0.273321351348045,0.137454467733329,0.104435989481428,0.0451319286729118,0.0391489887395203,0.0326662973749614,0.273321351348045,0.446815652830849,0.0283225426642704,0.0118752681829406,0.00690268297969606,0.0054295302409435,0.388241740299136,0.456158935181139,0.13256965529603,0.0237300429958582,0.0128461660929324,0.00922561123948434
"52",1,12,12,12,12,12,1,3,12,12,12,12,0.282909914002262,0.153462073622498,0.0785739533811001,0.067780358041659,0.0429588423718477,0.0258444076740993,0.282909914002262,0.0257003416446049,0.0172374459959731,0.0116587683476194,0.00655486677102379,0.00508776797595285,0.370290317903074,0.710044806065185,0.0340298980221105,0.0214133507076688,0.0152411625270169,0.00819203770472434
"53",1,1,12,12,12,12,1,1,12,12,12,12,0.247866218511842,0.197264359527252,0.0665791378347516,0.0427200581252866,0.0398292529467334,0.033457391203783,0.247866218511842,0.197264359527252,0.021444321104479,0.00648378241893234,0.00593742266574475,0.00667238020730776,0.453030444906403,0.304650110740364,0.0246699735643449,0.0118529232921915,0.0102053731375542,0.00908523418627589
"54",3,1,12,12,12,12,3,3,1,12,12,12,0.259130738304043,0.142293416899687,0.0718926527850246,0.052346880756419,0.035556880040064,0.030624454784566,0.533516304721978,0.142293416899687,0.0140425504532321,0.0115278642435404,0.0113050379553019,0.00538329111457741,0.53291583289373,0.556754594254172,0.121615213823587,0.0224698282583153,0.0155208478804339,0.0142062276928452
"55",1,1,12,12,12,12,3,1,12,12,12,12,0.328165866052082,0.163641668110716,0.0804491789703702,0.0524730741774274,0.0387822911880466,0.0314639349397237,0.328165866052082,0.163641668110716,0.0241742376079184,0.00972157754466799,0.00974262132753427,0.00787666606733881,0.475570523250699,0.335394489378872,0.0546920010853585,0.0176103779566983,0.0126885110623538,0.0089269338174251
"56",3,1,12,12,12,12,3,3,12,12,12,12,0.435341698639052,0.237228305961734,0.0867786701733389,0.0423784626684075,0.0411816465410153,0.0420976348837007,0.419696232314623,0.237228305961734,0.0442422829472291,0.00643353185043499,0.0123107960099324,0.00425264399920926,0.434701451333017,0.482623311582065,0.0738230325985091,0.0148338603707588,0.015738312244047,0.0134200381926542
